meta_id,effect_size_type,description,study_short,study_long,effect_size,ci_lower,ci_upper,num_training_sessions,doi
,,,"Lu et al., 2008","Lu H, Su Y, Wang Q. Talking about others facilitates theory of mind in Chinese preschoolers. Developmental Psychology. 2008; 44(6):1726–1736. doi: http://dx.doi.org/10.1037/a0013074. [PubMed: 18999334]",0.724,0.165,1.282,10.1037/a0013074,
,,,"Nash, 2002","Nash HM. Social skills training, training to task, and theory of mind performance among young children. Dissertation Abstract International: Section B: The Sciences and Engineering. 2002; 62(10-B):4797.",0.922,0.054,1.79,4,NA
,,,"Ornahgi et al, in press","Ornaghi V, Brockmeier J, Gavazzi IG. The role of language games in children's understanding of mental states: A training study. Journal of Cognition and Development. 2011; 12(2):239–259. doi: http://dx.doi.org/10.1080/15248372.2011.563487.",0.897,0.225,1.568,9,10.1080/15248372.2011.563487
,,,"Ozonoff & Miller, 1995","Ozonoff S, Miller JN. Teaching theory of mind: A new approach to social skills training for individuals with autism. Journal of Autism and Developmental Disorders. 1995; 25(4):415–433. doi: http://dx.doi.org/10.1007/BF02179376. [PubMed: 7592252]",0.778,-0.445,2.001,16,10.1007/BF02179376
,,,Paynter & Peterson 2013,"Paynter J, Peterson CC. Further evidence of benefits of thought-bubble training for theory of mind development in children with autism spectrum disorders. Research in Autism Spectrum Disorders. 2013; 7:344–348.10.1016/j.rasd.2012.10.001",0.718,-0.156,1.592,14,NA
,,,"Peskin & Astington, 2004","Peskin J, Astington JW. The effects of adding metacognitive language to story texts. Cognitive Development. 2004; 19(2):253–273. doi: http://dx.doi.org/10.1016/j.cogdev.2004.01.003.",0.236,-0.323,0.796,2020-01-03 00:00:00,10.1016/j.cogdev.2004.01.003
,,,"Qu et al, 2015 (a)","Qu L, Chee YY, Chene L. Teachers's theory-of-mind coaching and children's executive function predict the training effect of sociodramatic play on children's theory of mind. Social Development. 2015; 24:716–733.10.1111/sode.12116",0.273,-0.308,0.853,20,NA
,,,"Qu et al, 2015 (b)","Qu L, Chee YY, Chene L. Teachers's theory-of-mind coaching and children's executive function predict the training effect of sociodramatic play on children's theory of mind. Social Development. 2015; 24:716–733.10.1111/sode.12116",1.042,0.43,1.653,4,NA
,,,Rostan et al 2014 (a),"Rostan C, Sidera F, Serrano J, Amadó A, Vallés-Majoral E, Esteban M, Serrat E. Fostering theory of mind development. Short and medium-term effects of training false belief understanding. Journal for the Study of Education and Development. 2014; 37:498–529.10.1080/02103702.2014.965464",0.117,-0.419,0.652,4,NA
,,,Rostan et al 2014 (b),"Rostan C, Sidera F, Serrano J, Amadó A, Vallés-Majoral E, Esteban M, Serrat E. Fostering theory of mind development. Short and medium-term effects of training false belief understanding. Journal for the Study of Education and Development. 2014; 37:498–529.10.1080/02103702.2014.965464",1.091,0.516,1.666,3,NA
,,,Sellabona et al 2013 (a),"Sellabona ES, Sánchez CR, Vallés-Majoral E, Guitart ME, Caballero FS, Ortiz JS. Labelling improves false belief understanding. A training study. The Spanish Journal of Psychology. 2013; 16 DOI: http://dx.doi.org/10.1017/sjp.2013.8.",0.394,-0.147,0.936,3,10.1017/sjp.2013.8
,,,Sellabona et al 2013 (b),"Sellabona ES, Sánchez CR, Vallés-Majoral E, Guitart ME, Caballero FS, Ortiz JS. Labelling improves false belief understanding. A training study. The Spanish Journal of Psychology. 2013; 16 DOI: http://dx.doi.org/10.1017/sjp.2013.8.",0.843,0.28,1.405,3,10.1017/sjp.2013.8
,,,"Slaughter & Gopnik, 1996, Study 1 (a)","Slaughter V, Gopnik A. Conceptual coherence in the child's theory of mind: Training children to understand belief. Child Development. 1996; 67(6):2967–2988. doi: http://dx.doi.org/10.2307/1131762. [PubMed: 9071768]",1.17,0.294,2.045,2,10.2307/1131762
,,,"Slaughter & Gopnik, 1996, Study 1 (b)","Slaughter V, Gopnik A. Conceptual coherence in the child's theory of mind: Training children to understand belief. Child Development. 1996; 67(6):2967–2988. doi: http://dx.doi.org/10.2307/1131762. [PubMed: 9071768]",0.757,-0.078,1.591,2,10.2307/1131762
,,,"Slaughter & Gopnik, 1996, Study 2 (a)","Slaughter V, Gopnik A. Conceptual coherence in the child's theory of mind: Training children to understand belief. Child Development. 1996; 67(6):2967–2988. doi: http://dx.doi.org/10.2307/1131762. [PubMed: 9071768]",0.493,-0.268,1.255,2,10.2307/1131762
,,,"Slaughter & Gopnik, 1996, Study 2 (b)","Slaughter V, Gopnik A. Conceptual coherence in the child's theory of mind: Training children to understand belief. Child Development. 1996; 67(6):2967–2988. doi: http://dx.doi.org/10.2307/1131762. [PubMed: 9071768]",0.781,0.005,1.556,2,10.2307/1131762
,,,"Slaughter, 1998",Slaughter V. Children's understanding of pictorial and mental representations. Child Development. 1998; 69(2):321–332. doi: http://dx.doi.org/10.2307/1132167. [PubMed: 9586208],0.94,0.051,1.828,2,10.2307/1132167
,,,"Smith, 2010",Smith H. The effects of a drama-based language intervention on the development of theory of mind and executive function in urban kindergarten children. Dissertation Abstract International: Section B: The Sciences and Engineering. 2010; 72(5-B):3125.,0.094,-0.333,0.52,13,NA
,,,"Sprung et al, 2011, Study 1","Sprung, M.; Lohmann, H.; Zauner, P.; Bauer, N. Unpublished Manuscript, Department of Psychology. University of Vienna; Austria: 2011. Theory of Mind and discourse based interventions: Can language structure training really improve theory of mind understanding?.",0.518,-0.093,1.129,3,NA
,,,"Sprung et al, 2011, Study 2","Sprung, M.; Lohmann, H.; Zauner, P.; Bauer, N. Unpublished Manuscript, Department of Psychology. University of Vienna; Austria: 2011. Theory of Mind and discourse based interventions: Can language structure training really improve theory of mind understanding?.",0.498,-0.105,1.101,3,NA
,,,"Sprung et al, 2011, Study 3 (a)","Sprung, M.; Lohmann, H.; Zauner, P.; Bauer, N. Unpublished Manuscript, Department of Psychology. University of Vienna; Austria: 2011. Theory of Mind and discourse based interventions: Can language structure training really improve theory of mind understanding?.",1.394,0.88,1.909,5,NA
,,,"Sprung et al, 2011, Study 3 (b)","Sprung, M.; Lohmann, H.; Zauner, P.; Bauer, N. Unpublished Manuscript, Department of Psychology. University of Vienna; Austria: 2011. Theory of Mind and discourse based interventions: Can language structure training really improve theory of mind understanding?.",0.917,0.429,1.405,5,NA
,,,"Steerneman & Huskens, 1996, Study 1","Steerneman P, Huskens B. The development of a social cognition training for autistic children. Psychologie in Erziehung und Unterricht. 1996; 43(4):291–301. Retrieved from http://www.reinhardt-verlag.de/de/zeitschriften/peu/.",0.524,-0.622,1.67,27,NA
,,,"Taylor & Hort, 1990, Study 2","Taylor M, Hort B. Can children be trained in making the distinction between appearance and reality? Cognitive Development. 1990; 5(1):89–99. doi: http://dx.doi.org/10.1016/0885-2014%2890%2990014-K.",0.233,-0.542,1.009,1,10.1016/0885-2014%2890%2990014-K
,,,"Waugh & Peskin, 2015","Waugh C, Peskin J. Improving the social skills of children with HFASD: An intervention study. Journal of Autism and Developmental Disorders. 2015; 45:2961–2980. [PubMed: 25956127]",0.014,-0.708,0.737,10,NA
,,,"Wellman & Peterson, 2013","Wellman HM, Peterson CC. Deafness, thought bubbles, and theory-of-mind development. Developmental Psychology. 2013; 49:2357–2367. doi: http://dx.doi.org/10.1037/a0032419. [PubMed: 23544856]",1.391,0.565,2.217,6,10.1037/a0032419
,,,"Xiao et al, 2014","Xiao X, Yang N, Qian L, Zhou S. Pretend playing training improves theory of mind in children with autism. Psychology. 2014; 22:742–745.",0.476,-0.377,1.329,32,NA
,,,"Zhang et al, 2008 (a)","Zhang LJ, Wu N, Zheng Y. The training effects of different linguistic interference on young Chinese performance on a theory of mind task. Acta Psychologica Sinica. 2008; 40(7):819–827. doi: http://dx.doi.org/10.3724/SP.J.1041.2008.00819.",0.621,-0.025,1.268,14,10.3724/SP.J.1041.2008.00819
,,,"Zhang et al, 2008 (b)","Zhang LJ, Wu N, Zheng Y. The training effects of different linguistic interference on young Chinese performance on a theory of mind task. Acta Psychologica Sinica. 2008; 40(7):819–827. doi: http://dx.doi.org/10.3724/SP.J.1041.2008.00819.",1.687,0.967,2.407,14,10.3724/SP.J.1041.2008.00819
,,,"Zhang et al, 2008 (c)","Zhang LJ, Wu N, Zheng Y. The training effects of different linguistic interference on young Chinese performance on a theory of mind task. Acta Psychologica Sinica. 2008; 40(7):819–827. doi: http://dx.doi.org/10.3724/SP.J.1041.2008.00819.",1.012,0.357,1.667,14,10.3724/SP.J.1041.2008.00819
